"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2019-05-31,270340,"Academy Hills Park","NM","Albuquerque","Bernalillo County","Albuquerque",4610,303600,0.0123374458152718,0.0490670352453352,0.109243697478992,0.0481371277574265,0.0158584081261308,"2019-05","2019-Q2",303600,0,"2019-05"
2019-05-31,417091,"Westlakes","CA","Bakersfield","Kern County","Bakersfield",4611,286900,0.00279622509612024,0.00843585237258348,0.00702000702000702,0.020199654279567,0.0317928319803946,"2006-05","2006-Q2",388300,-0.261138295132629,"2004-10"
2019-05-31,762062,"Canyon View","UT","Provo-Orem","Utah County","Orem",4612,402300,0.00675675675675676,0.0200304259634888,0.176315789473684,0.0899728188444315,0.0431037918500743,"2019-05","2019-Q2",402300,0,"2019-05"
2019-05-31,271128,"Russell","OR","Portland-Vancouver-Hillsboro","Multnomah County","Portland",4613,355700,-0.00447802966694654,-0.00503496503496504,0.0221264367816092,0.110833372042026,0.0486009458726973,"2019-03","2019-Q1",358000,-0.00642458100558659,"2019-01"
2019-05-31,271912,"Marrion","WA","Portland-Vancouver-Hillsboro","Clark County","Vancouver",4614,303000,0,0.00664451827242525,0.0639044943820225,0.106472988358887,0.0474467973751016,"2019-05","2019-Q2",303000,0,"2019-05"
2019-05-31,275278,"Samish Hill","WA","Bellingham","Whatcom County","Bellingham",4615,545500,0.0135637309550353,0.0452193906878712,0.125670656211308,0.0980055601005025,0.0441006358844933,"2019-05","2019-Q2",545500,0,"2019-05"
2019-05-31,396782,"Northwest Harwinton","CT","Torrington","Litchfield County","Harwinton",4616,222700,-0.00268696820420958,-0.00447027268663388,-0.0206684256816183,0.00904122767547455,-0.00527687946690358,"2006-09","2006-Q3",273400,-0.185442574981712,"2003-11"
2019-05-31,762739,"Greenfield Gardens","WI","Milwaukee-Waukesha-West Allis","Milwaukee County","West Allis",4617,167200,0.00239808153477218,0.0289230769230769,0.0815006468305304,0.0600705438418985,0.00838875441240416,"2006-04","2006-Q2",168900,-0.010065127294257,"2005-12"
2019-05-31,274740,"North Rosslyn","VA","Washington-Arlington-Alexandria","Arlington County","Arlington",4618,787200,-0.00240780636167786,0.00318593092901746,-0.0156308615730899,0.024696820582593,0.0216377996690791,"2018-05","2018-Q2",799700,-0.0156308615730899,"2018-04"
2019-05-31,226381,"Eastwood","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County","Nashville",4619,382800,-0.00854700854700855,-0.017201540436457,-0.0151788011319784,0.097873083103379,0.0705492649291302,"2019-03","2019-Q1",389600,-0.0174537987679671,"2018-11"
2019-05-31,269920,"Tuscany-Canterbury","MD","Baltimore-Columbia-Towson","Baltimore City","Baltimore",4620,201200,-0.0137254901960784,-0.0441805225653207,-0.165491497304023,-0.0486630881472317,-0.0356649450423139,"2006-06","2006-Q2",322600,-0.376317420954743,
2019-05-31,762568,"Erb Park","WI","Appleton","Outagamie County","Appleton",4621,152900,-0.00520494469746259,0.000654450261780105,0.0782792665726375,0.050352953928819,0.0235907067103323,"2019-03","2019-Q1",153800,-0.005851755526658,"2019-03"
2019-05-31,269481,"Douglas Acres","IA","Des Moines-West Des Moines","Polk County","Des Moines",4622,136700,-0.00509461426491994,-0.00870195794053662,0.00219941348973607,0.0649460196290459,0.0241304549926979,"2018-11","2018-Q4",139800,-0.0221745350500715,"2018-06"
2019-05-31,410580,"Spring Lake","MI","Grand Rapids-Wyoming","Ottawa County","Spring Lake",4623,196700,0.000508646998982706,-0.000508130081300813,0.0879424778761062,0.0785068145629149,0.0528746015160413,"2019-03","2019-Q1",196900,-0.00101574403250381,"2019-02"
2019-05-31,256913,"Maplewood","OK","Tulsa","Tulsa County","Tulsa",4624,41400,-0.0235849056603774,-0.00719424460431655,-0.0758928571428571,0.030647297053422,0.00394917437340814,"2006-06","2006-Q2",52200,-0.206896551724138,"2000-06"
2019-05-31,761371,"Mid Lakewood","CO","Denver-Aurora-Lakewood","Jefferson County","Lakewood",4625,426500,-0.00952159777055272,-0.0249199817101052,0.033187984496124,0.110797236588161,0.0712971681351433,"2019-02","2019-Q1",437400,-0.0249199817101052,"2018-10"
2019-05-31,275134,"Randolph","VA","Richmond","Richmond City","Richmond",4626,208300,-0.00856734888148501,-0.00143815915627996,0.150193263390392,0.0896472222595261,0.0333105363292252,"2019-03","2019-Q1",211300,-0.0141978230004733,"2019-02"
